frame,x_px,y_px,z_norm,r_norm
0,676.2607903790163,547.713635721592,0.98976785,0.77541625
1,676.2998075794862,547.333302059559,0.9865057,0.498743
2,676.3830991100954,547.9771430877724,0.99178374,0.90194947
3,676.0977764439272,547.4066980270425,0.9853039,0.4819837
4,675.2738590550111,547.916192570118,0.98035884,0.4699275
5,675.5044646572755,547.8499277023354,0.9816297,0.4756924
6,675.2630157780336,548.8060064701119,0.9796958,0.4605797
7,674.9875278782533,550.3690226463357,0.97595733,0.39678055
8,675.3917832684206,549.3083341506997,0.97788906,0.4522812
9,675.4753465962099,550.0812681106606,0.9774344,0.39756963
10,674.6710057568239,552.8371949581185,0.9615472,0.06464514
11,676.2398262333559,551.5924747375527,0.9699543,0.28056026
12,675.6559915852235,551.6199047950784,0.9683594,0.2597123
13,675.6568141293214,549.8273845104256,0.97485775,0.42858166
14,675.620471985309,548.1065078167001,0.98082924,0.47800776
15,675.476862938373,548.1374998477975,0.97898656,0.47531575
16,675.3907676052736,548.2075698761025,0.9771739,0.4739597
17,675.5144210171388,548.1859441188851,0.97889185,0.47844937
18,675.6726355862306,547.9514296440163,0.9820302,0.48139885
19,676.0606832813905,547.6655848411599,0.9850942,0.4859907
20,675.5691023182558,548.0664999870339,0.9812035,0.48072782
21,676.0010881733583,547.7674050716439,0.985078,0.48223418
22,675.6645818066286,548.0124373821297,0.98271793,0.4811509
23,675.8732862782167,547.9167611984292,0.984271,0.4817234
24,676.2540598225282,547.8545053390542,0.9861968,0.49445552
25,675.9398551296877,547.8527493862191,0.98493516,0.48199433
26,675.8732076000856,547.8649194625893,0.98495376,0.48194936
27,675.7066889118837,547.9948957351723,0.9837828,0.48145974
28,675.5216737103151,547.9857583431283,0.98208034,0.48015636
29,675.6807108235048,547.9194434074441,0.98324066,0.48128837
30,675.2383752178835,548.0960436252633,0.9795706,0.47502646
31,675.1452060055421,548.0730839160958,0.97956526,0.47066602
32,675.302118809192,547.9180343536416,0.9820195,0.4769435
33,675.1057167362856,547.9820175556222,0.9796465,0.46643952
34,675.0974912953066,547.7977462200204,0.9796077,0.46921116
35,675.040478260486,547.7203412441293,0.9800121,0.47075355
36,675.1045437168764,547.602631607441,0.9802966,0.47471827
37,675.0012750935243,547.5229950336495,0.98116344,0.4722237
38,674.9456210446046,547.5669975666085,0.98014796,0.47156194
39,674.9137921642946,547.6015623001138,0.9788881,0.46004093
40,674.9827714276003,547.6060970214883,0.9795379,0.47103152
41,674.8860330891298,547.4296863464394,0.9805729,0.46862453
42,675.1851101231264,547.4357409862557,0.9810131,0.4756767
43,675.2612848591493,547.4726016906777,0.9813076,0.4763488
44,675.122003109424,548.1146867660561,0.97756755,0.44416314
45,675.1301856350588,547.6594872859994,0.97936535,0.46402824
46,675.0827713322328,547.5140471843758,0.9795274,0.4714506
47,675.1938290905641,547.4728770641366,0.98028564,0.47294626
48,675.8113308262514,547.546251573948,0.98307747,0.48146024
49,676.0311360668825,547.5424571422616,0.9840678,0.48194116
50,675.9300418209718,547.2709389118234,0.9850766,0.48224077
51,676.0373516392397,547.0958300022164,0.9860918,0.49096027
52,675.6491823506044,547.1934302238503,0.98495495,0.48180556
53,674.9680300068544,547.2654242900887,0.9813415,0.47087377
54,674.7770209622072,547.4342496780434,0.98040205,0.4609655
55,674.6012611698793,547.814304390339,0.97874546,0.45539173
56,674.7343845677065,547.8099627880135,0.97731745,0.4577992
57,674.8048515629457,547.3721368698159,0.9789492,0.46583048
58,674.4112177204775,548.721663513569,0.9736337,0.4087754
59,674.1907401394533,549.2876024631539,0.97202075,0.33826292
60,675.3148217510866,547.171815195469,0.9830731,0.48008755
61,675.0872273754762,547.3226590541879,0.9818034,0.4770458
62,674.7511000942873,547.6148302940408,0.97683865,0.46143198
63,674.6921344113039,547.7551241306344,0.97728026,0.4592853
64,674.7279401135133,547.8314562229195,0.9774097,0.45465952
65,674.7036500286745,547.956600942997,0.977038,0.45080867
66,674.8323674511598,547.6895959762612,0.97729945,0.4596655
67,674.7564931225465,547.6307840732613,0.97863126,0.45824775
68,674.781963379352,547.519007482914,0.9802838,0.4646476
69,674.9050803494142,547.5023706344643,0.9806184,0.4702641
70,675.4489107441591,547.3848505405465,0.9840068,0.48131374
71,675.857550651996,547.1821005729714,0.9863049,0.4864855
72,676.1331816029237,547.1801371959725,0.9872196,0.5132644
73,675.7027407002138,547.1103926090279,0.98624146,0.48325905
74,675.7751531910585,547.124686994938,0.9864443,0.48560995
75,675.972206146686,547.1062477020303,0.9870651,0.49870566
76,675.4336829495119,547.3019774345437,0.98493886,0.48148623
77,675.5372305226015,547.2112794307748,0.9855664,0.481993
78,675.2984066319154,547.2273297695199,0.9849867,0.48116866
79,675.201668293445,547.3629100708047,0.9844915,0.47940612
80,674.9071402859377,547.4126847175637,0.9835254,0.47650215
81,675.0313587498354,547.3148270038644,0.98436546,0.4789581
82,674.9651546787904,547.4102349666634,0.9837007,0.47737038
83,675.4553909611391,547.2470887092629,0.9855226,0.4819256
84,675.2398915600465,547.282590427784,0.9850579,0.4800916
85,675.3698606800722,547.2994990734139,0.9853498,0.48072815
86,675.4698748898195,547.289059915928,0.98554623,0.4814226
87,675.3211732220338,547.3564083961526,0.9850701,0.47996065
88,675.5182833981203,547.3311670211831,0.98505694,0.4815816
89,675.87591841933,547.1723909763375,0.9868701,0.49182957
90,675.6575436901735,547.0746119407693,0.986668,0.48296013
91,675.6738586735414,547.1050854114571,0.9866176,0.4824703
92,675.301503689258,547.3001320747414,0.9852689,0.48041034
93,675.1572151493715,547.4410159973183,0.984361,0.47851384
94,675.6358142208742,547.2838242439309,0.9855069,0.4819264
95,675.97366526839,547.2172267822305,0.9869257,0.49354082
96,675.3999228787111,547.4063439754525,0.98482066,0.48041824
97,675.5279822659181,547.3237319377938,0.9852469,0.48173735
98,675.2061100315736,547.3505003837624,0.98427665,0.4795147
99,675.4799528431581,547.3400540737191,0.9849379,0.48151138
100,675.3928060841249,547.3887701419869,0.9846393,0.48057854
101,675.0512142491029,547.5247903255502,0.9832618,0.4767415
102,674.7097654652284,547.5007613090554,0.9813378,0.47127065
103,674.7396202397035,547.4858160404244,0.98177415,0.47387093
104,675.2470655750917,547.3477073101083,0.98457664,0.48027664
105,675.5857034039186,547.2391922859231,0.98580927,0.4821624
106,675.6001801800417,547.1730883506814,0.98600453,0.48229882
107,675.7160873722719,547.1523995784798,0.9863165,0.4824797
108,675.5423875164674,547.398089924244,0.98514986,0.48176357
109,675.5356641125368,547.4431009677926,0.9848772,0.4815809
110,675.2567429852174,547.6402397541085,0.9836073,0.47827822
111,675.1996012043642,547.6789780048409,0.9829123,0.47745585
112,675.1256795239137,547.6478751091042,0.9831087,0.47681975
113,675.1746959995912,547.645664968876,0.98348075,0.47740906
114,674.9778504681276,547.7056606201211,0.98249835,0.47484607
115,675.4683299374269,547.579814949421,0.9846689,0.48055327
116,675.2694959950136,547.6634319213906,0.9839347,0.47806847
117,675.0159378361391,547.6793320564309,0.98275524,0.47485575
118,675.5466218304323,547.5294609455148,0.9851305,0.48096672
119,675.6494326901125,547.5614006904641,0.9851816,0.48156714
120,675.5182619404482,547.5701661495248,0.985021,0.48049816
121,674.9376960110353,547.7402682689706,0.98229724,0.47350007
122,675.1572223019289,547.7082784561196,0.9835751,0.47628486
123,675.5416078877138,547.5755341438332,0.98491514,0.48051676
124,675.4318089794801,547.577590504078,0.98466367,0.47975445
125,674.8357220005678,547.7041192440072,0.98241377,0.47038504
126,675.2078981709169,547.719933548359,0.9840004,0.47689295
127,675.1389046024965,547.7079136756936,0.9835471,0.47631606
128,674.6765203785585,547.6648910430947,0.98132664,0.4675566
129,674.6386475872682,547.6931078819314,0.9814068,0.4673572
130,675.9030266117738,547.3304124263802,0.9864222,0.48379552
131,676.0230751347231,547.3752410797158,0.9868535,0.49115947
132,675.8621354412721,547.3538084415475,0.9864748,0.4822731
133,675.4635448765443,547.5139398960152,0.9852638,0.48043293
134,675.3569860768007,547.579278507618,0.98495585,0.4794088
135,674.72361996886,547.6728518394509,0.982027,0.46927014
136,674.7189493488954,547.6501174358407,0.98237324,0.46860874
137,674.6582527470277,547.685776510624,0.9819134,0.46629968
138,674.9043221783327,547.655635633854,0.9828536,0.4729743
139,675.7669921230959,547.4738712696114,0.9859505,0.48193246
140,675.997919590442,547.4319787410775,0.98673266,0.48429292
141,675.9104295086549,547.4549599079171,0.98624915,0.48214582
142,675.5090136837648,547.5573487667123,0.9854107,0.48043415
143,675.4155798268007,547.5947494892159,0.98506594,0.47925472
144,674.7779794048952,547.6274831680337,0.9826864,0.46825382
145,675.6080193829225,547.5722153572121,0.9856274,0.4806109
146,675.4572077107118,547.5954111007729,0.9850706,0.4795073
147,675.3795953106569,547.6142866996804,0.9849851,0.47902504
148,675.279244930713,547.6722832111398,0.9846161,0.4776893
149,675.8599753689455,547.5119336036721,0.98615557,0.48189
150,675.7239981007265,547.5792928127328,0.9855993,0.48143145
151,675.4369945835756,547.6462765125314,0.98512036,0.47890115
152,675.1410289120363,547.7245147613564,0.98396343,0.4761073
153,675.0867195439027,547.7055175689736,0.983698,0.47519943
154,674.7970695805238,547.6781232742348,0.98283136,0.46710423
155,674.9274034809755,547.5940843013802,0.9832813,0.47060588
156,675.1594467472719,547.4878902820626,0.9839647,0.47533262
157,676.0634012531923,547.2691579250375,0.9871907,0.48995066
158,675.8944292378114,547.2332163242379,0.9866019,0.48235008
159,675.5534024548219,547.3248227027932,0.985562,0.48102844
160,675.629906208484,547.2858841804543,0.985693,0.4818637
161,675.5129046749757,547.3451359657327,0.9855967,0.48073816
162,676.0881061863588,547.2335167316476,0.9873444,0.49237028
163,676.1512847256349,547.2451968578378,0.9873585,0.4936254
164,675.3541751217531,547.4018128303567,0.984982,0.47859967
165,676.0452409100221,547.2162433055917,0.9871738,0.48959208
166,675.7158370327638,547.3805232433358,0.98575854,0.48180088
